ticker,nome_pregao,cod_cvm,segmento
AZTE3,AZT ENERGIA,027626,Exploração. Refino e Distribuição
AZTE11,AZT ENERGIA,027626,Exploração. Refino e Distribuição
AZEV3,AZEVEDO,011975,Construção Pesada
AZEV4,AZEVEDO,011975,Construção Pesada
AZEV11,AZEVEDO,011975,Construção Pesada
AZEV12,AZEVEDO,011975,Construção Pesada
AZUL3,AZUL,024112,Transporte Aéreo
AZUL98,AZUL,024112,Transporte Aéreo
AZUL97,AZUL,024112,Transporte Aéreo
AZUL99,AZUL,024112,Transporte Aéreo
AZUL19,AZUL,024112,Transporte Aéreo
AZZA3,AZZAS 2154,022349,Tecidos. Vestuário e Calçados
B1003,B100 S.A.,027634,Serviços Diversos
B3SA3,B3,021610,Serviços Financeiros Diversos
BMGB4,BANCO BMG,024600,Bancos
BEES3,BANESTES,001155,Bancos
BEES4,BANESTES,001155,Bancos
BDLL3,BARDELLA,001520,Máq. e Equip. Industriais
BDLL4,BARDELLA,001520,Máq. e Equip. Industriais
BALM3,BAUMER,001562,Equipamentos
BALM4,BAUMER,001562,Equipamentos
BBSE3,BBSEGURIDADE,023159,Seguradoras
BBML3,BBMLOGISTICA,024660,Serviços Diversos
ABCB4,ABC BRASIL,020958,Bancos
BAZA3,AMAZONIA,000922,Bancos
BBDC3,BRADESCO,000906,Bancos
BBDC4,BRADESCO,000906,Bancos
BBDC1,BRADESCO,000906,Bancos
BBDC2,BRADESCO,000906,Bancos
BBAS11,BRASIL,001023,Bancos
BBAS12,BRASIL,001023,Bancos
BBAS3,BRASIL,001023,Bancos
BPAC3,BTGP BANCO,022616,Bancos
BPAC5,BTGP BANCO,022616,Bancos
BPAC11,BTGP BANCO,022616,Bancos
BGIP3,BANESE,001120,Bancos
BGIP4,BANESE,001120,Bancos
BPAR3,BANPARA,001171,Bancos
BRSR3,BANRISUL,001210,Bancos
BRSR5,BANRISUL,001210,Bancos
BRSR6,BANRISUL,001210,Bancos
BMIN3,MERC INVEST,001309,Bancos
BMIN4,MERC INVEST,001309,Bancos
BMEB3,MERCANTIL,001325,Bancos
BMEB4,MERCANTIL,001325,Bancos
BNBR3,NORD BRASIL,001228,Bancos
PINE3,PINE,020567,Bancos
PINE4,PINE,020567,Bancos
PINE13,PINE,020567,Bancos
PINE14,PINE,020567,Bancos
SANB3,SANTANDER BR,020532,Bancos
SANB4,SANTANDER BR,020532,Bancos
SANB11,SANTANDER BR,020532,Bancos
CCTY3,RDVC CITY,027570,Incorporações
BMOB3,BEMOBI TECH,025500,Programas e Serviços
BETP3,BETAPART,017884,Outros
BMKS3,BIC MONARK,001694,Bicicletas
BIED3,BIOMA EDUC,000701,Serviços Educacionais
BIOM3,BIOMM,019305,Medicamentos e Outros Produtos
BIOM13,BIOMM,019305,Medicamentos e Outros Produtos
BIOM14,BIOMM,019305,Medicamentos e Outros Produtos
BIOM11,BIOMM,019305,Medicamentos e Outros Produtos
BLAU3,BLAU,024627,Medicamentos e Outros Produtos
SOJA3,BOA SAFRA,025704,Agricultura
BOBR3,BOMBRIL,012190,Produtos de Limpeza
BOBR4,BOMBRIL,012190,Produtos de Limpeza
BRAP3,BRADESPAR,018724,Minerais Metálicos
BRAP4,BRADESPAR,018724,Minerais Metálicos
SAUD3,BRADSAUDE,020125,Serv.Méd.Hospit..Análises e Diagnósticos
AGRO3,BRASILAGRO,020036,Agricultura
BRKM3,BRASKEM,004820,Petroquímicos
BRKM5,BRASKEM,004820,Petroquímicos
BRKM6,BRASKEM,004820,Petroquímicos
BRAV3,BRAVA,025291,Exploração. Refino e Distribuição
GROP31,POTASSIO BR,059434,Não Classificados
BSLI3,BRB BANCO,014206,Bancos
BSLI4,BRB BANCO,014206,Bancos
BSLI10,BRB BANCO,014206,Bancos
BSLI9,BRB BANCO,014206,Bancos
BRBI11,BR PARTNERS,025860,Bancos
BRST3,BRISANET,027693,Telecomunicações
BRQB3,BRQ,023817,Programas e Serviços
CXSE3,CAIXA SEGURI,023795,Seguradoras
CAMB3,CAMBUCI,002100,Calçados
CAML3,CAMIL,024228,Alimentos Diversos
CEAB3,CEA MODAS,024848,Tecidos. Vestuário e Calçados
MAPT3,CEMEPE,013854,Outros
MAPT4,CEMEPE,013854,Outros
CLSC3,CELESC,002461,Energia Elétrica
CLSC4,CELESC,002461,Energia Elétrica
PCAR3,P.ACUCAR-CBD,014826,Alimentos
CASN3,CASAN,016861,Água e Saneamento
CASN4,CASAN,016861,Água e Saneamento
GPAR3,CELGPAR,021393,Energia Elétrica
CEGR3,CEG,016616,Gás
CEEB3,COELBA,014524,Energia Elétrica
CEEB5,COELBA,014524,Energia Elétrica
CEEB6,COELBA,014524,Energia Elétrica
CEBR3,CEB,014451,Energia Elétrica
CEBR5,CEB,014451,Energia Elétrica
CEBR6,CEB,014451,Energia Elétrica
CMIG3,CEMIG,002453,Energia Elétrica
CMIG4,CEMIG,002453,Energia Elétrica
COCE3,COELCE,014869,Energia Elétrica
COCE5,COELCE,014869,Energia Elétrica
COCE6,COELCE,014869,Energia Elétrica
CEED3,CEEE-D,020648,Energia Elétrica
CEED4,CEEE-D,020648,Energia Elétrica
FESA3,FERBASA,003069,Siderurgia
FESA4,FERBASA,003069,Siderurgia
CEDO3,CEDRO,003077,Fios e Tecidos
CEDO4,CEDRO,003077,Fios e Tecidos
CGAS3,COMGAS,015636,Gás
CGAS5,COMGAS,015636,Gás
HBTS3,HABITASUL,003298,Exploração de Imóveis
HBTS5,HABITASUL,003298,Exploração de Imóveis
HBTS6,HABITASUL,003298,Exploração de Imóveis
CATA3,IND CATAGUAS,003395,Fios e Tecidos
CATA4,IND CATAGUAS,003395,Fios e Tecidos
MSPA3,MELHOR SP,003654,Papel e Celulose
MSPA4,MELHOR SP,003654,Papel e Celulose
CPLE3,COPEL,014311,Energia Elétrica
CPLE99,COPEL,014311,Energia Elétrica
PEAB3,PAR AL BAHIA,018708,Exploração de Imóveis
PEAB4,PAR AL BAHIA,018708,Exploração de Imóveis
SBSP3,SABESP,014443,Água e Saneamento
CSMG3,COPASA,019445,Água e Saneamento
SAPR3,SANEPAR,018627,Água e Saneamento
SAPR4,SANEPAR,018627,Água e Saneamento
SAPR11,SANEPAR,018627,Água e Saneamento
CSNA3,SID NACIONAL,004030,Siderurgia
CTSA3,SANTANENSE,004081,Fios e Tecidos
CTSA4,SANTANENSE,004081,Fios e Tecidos
VVEO3,VIVEO,025682,Medicamentos e Outros Produtos
VVEO1,VIVEO,025682,Medicamentos e Outros Produtos
COGN3,COGNA ON,017973,Serviços Educacionais
COMR3,COMERC PAR,026280,Energia Elétrica
CBAV3,CBA,025984,Minerais Metálicos
PASS3,COMPASS,025127,Gás
CRTE3,CONC RIO TER,019208,Exploração de Rodovias
CRTE5,CONC RIO TER,019208,Exploração de Rodovias
ODER3,ODERICH,004693,Alimentos Diversos
ODER4,ODERICH,004693,Alimentos Diversos
CALI3,CONST A LIND,004723,Incorporações
CALI11,CONST A LIND,004723,Incorporações
TEND3,TENDA,021148,Incorporações
CTAX3,CONTAX,019100,Serviços Diversos
CSAN3,COSAN,019836,Exploração. Refino e Distribuição
CPFE3,CPFL ENERGIA,018660,Energia Elétrica
CSED3,CRUZEIRO EDU,025526,Serviços Educacionais
CMIN3,CSNMINERACAO,025585,Minerais Metálicos
CSUD3,CSU DIGITAL,020044,Serviços Financeiros Diversos
CTCA3,CTC S.A.,023981,Agricultura
CURY3,CURY S/A,025100,Incorporações
CVCB3,CVC BRASIL,023310,Viagens e Turismo
LLBI3,LE BISCUIT,025542,Produtos Diversos
CYRE3,CYRELA REALT,014460,Incorporações
CYRE4,CYRELA REALT,014460,Incorporações
CYRE99,CYRELA REALT,014460,Incorporações
DMVF3,D1000VFARMA,025046,Medicamentos e Outros Produtos
DEFT31,DEFI TECH,059436,Não Classificados
DESK3,DESKTOP,026026,Telecomunicações
DXCO3,DEXCO,021091,Madeira
DEXP3,DEXXOS PAR,016632,Petroquímicos
DEXP4,DEXXOS PAR,016632,Petroquímicos
DASA3,DASA,019623,Serv.Méd.Hospit..Análises e Diagnósticos
PNVL3,DIMED,009342,Medicamentos e Outros Produtos
DIRR3,DIRECIONAL,021350,Incorporações
DOHL3,DOHLER,005207,Fios e Tecidos
DOHL4,DOHLER,005207,Fios e Tecidos
DOTZ3,DOTZ SA,025836,Programas de Fidelização
DTCY3,DTCOM-DIRECT,018597,Serviços Diversos
DTCY4,DTCOM-DIRECT,018597,Serviços Diversos
ECOM3,ECONOMATICA,026077,Programas e Serviços
ECOR3,ECORODOVIAS,019453,Exploração de Rodovias
EALT3,ACO ALTONA,005380,Máq. e Equip. Industriais
EALT4,ACO ALTONA,005380,Máq. e Equip. Industriais
EKTR3,ELEKTRO,017485,Energia Elétrica
EKTR4,ELEKTRO,017485,Energia Elétrica
EMAE3,EMAE,016993,Energia Elétrica
EMAE4,EMAE,016993,Energia Elétrica
EPAR3,EMBPAR S/A,015458,Holdings Diversificadas
EMBJ3,EMBRAER,020087,Material Aeronáutico e de Defesa
PGMN3,PAGUE MENOS,022608,Medicamentos e Outros Produtos
ENMT3,ENERGISA MT,014605,Energia Elétrica
ENMT4,ENERGISA MT,014605,Energia Elétrica
ENGI3,ENERGISA,015253,Energia Elétrica
ENGI4,ENERGISA,015253,Energia Elétrica
ENGI11,ENERGISA,015253,Energia Elétrica
ENGI12,ENERGISA,015253,Energia Elétrica
ENEV3,ENEVA,021237,Energia Elétrica
EGIE3,ENGIE BRASIL,017329,Energia Elétrica
ENJU3,ENJOEI,025259,Programas e Serviços
EQPA3,EQTL PARA,018309,Energia Elétrica
EQPA5,EQTL PARA,018309,Energia Elétrica
